"nct_id","disease","drug"
"NCT00447577","Blepharokeratoconjunctivitis","Tobramycin and dexamethasone ophthalmic suspension"
"NCT00452907","Malaria","Artesunate + Sulfadoxine-Pyrimethamine"
"NCT00452907","Malaria","arthemether + lumefantrine"
"NCT00454259","Pain, Postoperative","Fentanyl/Placebo injection"
"NCT00478855","Bacterial Infections","Tazocin (Piperacillin/Tazobactem)"
"NCT00480649","Asthma","Salmeterol/ fluticasone propionate"
"NCT00487032","Allergic Rhinitis","Oxymetazoline 0.05% w/v"
"NCT00487032","Tachyphylaxis","Oxymetazoline 0.05% w/v"
"NCT00487032","Rhinitis Medicamentosa","Oxymetazoline 0.05% w/v"
"NCT00487123","Hypertension","Valsartan+/- Hydrochlorothiazide"
"NCT00595140","Acromegaly","combination with somatostatin analogue octreotide"
"NCT00595140","Acromegaly","combination with dopamine agonist cabergoline"
"NCT00538265","Liver Transplantation","ATG+mycophénolate mofétil+tacrolimus"
"NCT00540098","Panic Disorder","paroxetine + aerobic exercise"
"NCT00540098","Panic Disorder","Paroxetine + relaxation"
"NCT00540098","Panic Disorder","Placebo + aerobic exercise"
"NCT00540098","Panic Disorder","Placebo + relaxation"
"NCT00540137","HIV Infections","atazanavir/ritonavir"
"NCT00542295","Irritable Bowel Syndrome","alverine citrate and simeticone"
"NCT00545090","Post Menopausal Osteoporosis","ibandronate [Bonviva/Boniva]"
"NCT00545480","Post Menopausal Osteoporosis","ibandronate [Bonviva/Boniva]"
"NCT00545480","Post Menopausal Osteoporosis","ibandronate [Bonviva/Boniva]"
"NCT00545909","Postmenopausal Osteoporosis","ibandronate [Bonviva/Boniva]"
"NCT00545909","Postmenopausal Osteoporosis","ibandronate [Bonviva/Boniva]"
"NCT04609189","Osteoporosis, Postmenopausal","Pearlium/EffectiCal"
"NCT04609189","Osteoporosis, Postmenopausal","Calcium carbonate/vitamin D3"
"NCT02855294","Joint Stabilioty","COC containing 30 μg of EE and 3mg of drospirenone"
"NCT02657252","Varicose Veins","Polidocanol with Glucose"
"NCT02691442","Other Peripheral Nerve Disease","Levobupivacaine 0.5% + epinephrin 1/200000"
"NCT02682134","Sore Throat","Xylocaine and Dexamethasone"
"NCT02631668","Anemia, Iron-Deficiency","ferrous succinate and vitamin C"
"NCT02559440","Adenoidal Hypertrophy","Oxymetazoline + Placebo"
"NCT02559440","Adenoidal Hypertrophy","Placebo + placebo"
"NCT02559440","Adenoidal Hypertrophy","mometasone furoate + Placebo"
"NCT02559440","Adenoidal Hypertrophy","mometasone furoate + Oxymetazoline"
"NCT02465827","Knee Arthroplasty, Total","nerve block with ropivacaine"
"NCT02465827","Knee Arthroplasty, Total","nerve block with ropivacaine and with saline"
"NCT02465827","Knee Arthroplasty, Total","nerve block with saline"
"NCT01958190","Liver Disease","Tacrolimus and Sirolimus"
"NCT00390130","Pain","Pentacel (DPTaP+Hib)"
"NCT00585182","Obesity","Enoxaparin 0.5 mg/kg once daily"
"NCT00585182","Venous Thrombosis","Enoxaparin 0.5 mg/kg once daily"
"NCT00585182","Anticoagulants","Enoxaparin 0.5 mg/kg once daily"
"NCT01010399","Hypertriglyceridemia","fosamprenavir/ritonavir"
"NCT01010399","HIV Infection","fosamprenavir/ritonavir"
"NCT00451139","Malaria","artemether/lumefantrine"
"NCT00451139","Malaria","atovaquone/proguanil"
"NCT02372786","Tattoo","2,5% lidocaine / 2,5% prilocaine cream"
"NCT02372786","Tattoo","7% lidocaine / 7% tetracaine cream"
"NCT02372786","Acne Keloidalis Nuchae","2,5% lidocaine / 2,5% prilocaine cream"
"NCT02372786","Acne Keloidalis Nuchae","7% lidocaine / 7% tetracaine cream"
"NCT02372357","Hematological Malignancy","Posaconazole prophylaxis 120 mg/m² tid"
"NCT01092923","Anesthesia","sevoflurane on air/O2"
"NCT01092923","Anesthesia","sevoflurane in N2O/O2"
"NCT03629522","Ondansetron","Ondansetron 8Mg/4mL Injection"
"NCT03629522","Cesarean Section","Ondansetron 8Mg/4mL Injection"
"NCT03629522","Spinal Anesthesia","Ondansetron 8Mg/4mL Injection"
"NCT03629522","Hemodynamics","Ondansetron 8Mg/4mL Injection"
"NCT01596517","Chronic Hepatitis C","Peginterferon alfa-2a plus ribavirin for HCV genotype 2/3"
"NCT03618264","Pain, Postoperative","Miscible liquid of dexamethasone and ropivacaine"
"NCT03618264","Post-Craniotomy Headache","Miscible liquid of dexamethasone and ropivacaine"
"NCT04677712","Edematous Fibrosclerotic Panniculopathy (EFP)","QWO™(CCH-aaes) + No Mitigation Treatment"
"NCT04677712","Edematous Fibrosclerotic Panniculopathy (EFP)","QWO™(CCH-aaes) + Compression"
"NCT04677712","Edematous Fibrosclerotic Panniculopathy (EFP)","QWO™(CCH-aaes) + Cold Packs"
"NCT04677712","Edematous Fibrosclerotic Panniculopathy (EFP)","QWO™(CCH-aaes) + Arnica gel"
"NCT04677712","Edematous Fibrosclerotic Panniculopathy (EFP)","QWO™(CCH-aaes) + INhance®"
"NCT04677712","Edematous Fibrosclerotic Panniculopathy (EFP)","QWO™(CCH-aaes) + PDL"
"NCT03952286","Asthma","ED-Dispensing home and school supervision"
"NCT03952286","Asthma in Children","ED-Dispensing home and school supervision"
"NCT03513276","Hip Osteoarthritis","Adrenaline 10mcg/ml"
"NCT02991937","Appendicitis","Piperacillin/Tazobactam"
"NCT03961828","Beta-Thalassemia","Ledipasvir 90 MG / Sofosbuvir 400 MG [Harvoni]"
"NCT03781726","Hepatitis C","glecaprevir/pibrentasvir treatment"
"NCT03490123","Yaws","R1-Total community treatment with azithromycin"
"NCT03490123","Yaws","R2-Total community treatment with azithromycin"
"NCT03490123","Yaws","R3-Total community treatment with azithromycin"
"NCT03490123","Yaws","R2-Total targeted treatment with azithromycin"
"NCT03490123","Yaws","R3-Total targeted treatment with azithromycin"
"NCT00140946","Asthma","MK0476; montelukast sodium/Duration of Treatment: 16 weeks"
"NCT00140946","Asthma","Comparator: placebo / Duration of Treatment: 16 weeks"
"NCT01304953","Pain, Postoperative","Group P+P"
"NCT05222243","Direct Pulp Capping in Primary Teeth","Direct pulp capping with calcium hydroxide"
"NCT05222243","Direct Pulp Capping in Primary Teeth","Direct pulp capping with MTA"
"NCT05222243","Direct Pulp Capping in Primary Teeth","Direct pulp capping with Formocresol"
"NCT00612144","Type 2 Diabetes Mellitus","Glimepiride/metformin fixed combination"
"NCT03698474","Colonoscopy","Natrium picosulfate / Magnesium citrate"
"NCT03698474","Colonoscopy","Polyethylene glycol / Ascorbic acid"
"NCT03698474","Colonoscopy","Natrium/ Kalium/ Magnesium sulfate"
"NCT03241901","Malaria,Falciparum","Primaquine Phosphate 0.25 mg/kg"
"NCT01470118","Conjunctivitis, Allergic","dextran 70 0.1%/hydroxypropyl methylcellulose 0.3%"
"NCT03200184","Hepatitis C","sofosbuvir and daclatasvir"
"NCT03188445","Iron Deficiency Anemia of Pregnancy","ferrous fumarate with ascorbic acid"
"NCT00612755","HIV Infections","Peginterferon alfa-2a + ribavirin"
"NCT00612755","Hepatitis C","Peginterferon alfa-2a + ribavirin"
"NCT00380705","Asthma","MK0476, Singulair, montelukast sodium / Duration of Treatment: 8 Weeks"
"NCT03630198","Lichen Planus","Corticosteroid with lidocaine"
"NCT03630198","Lichen Planus","Corticosteroid with normal saline"
"NCT03631433","Pain, Postoperative","ibuprofen 600 mg and acetaminophen 650 mg"
"NCT02995954","Hypertension","Perindopril/Amlodipine"
"NCT01394991","Anemia","Epoetin alfa 450 IU/kg once a week"
"NCT01394991","Anemia","Epoetin alfa 150 IU/kg 3 times a week"
"NCT01394991","Anemia","Epoetin alfa 450 IU/kg once a week (QW)"
"NCT01394991","Anemia","Epoetin alfa 150 IU/kg 3 times a week (TIW)"
"NCT03389490","Diabetes Mellitus, Type 2","Insulin Glargine 300 UNT/ML"
"NCT02958046","Gastroesophageal Reflux Disease","Lansoprazole/Domperidone"
"NCT02941445","Polycystic Ovary Syndrome","sitagliptin and metformin"
"NCT02941445","Body Weight","sitagliptin and metformin"
"NCT00762528","Gingivitis","Triclosan/Copolymer/fluoride toothpaste"
"NCT03527576","Postoperative Pain","NaCl 0.0308 MEQ/ML Injectable Solution"
"NCT03527576","Lower Limb Injury","NaCl 0.0308 MEQ/ML Injectable Solution"
"NCT00477152","Dehydration","hyaluronidase (human recombinant)/rehydration fluid"
"NCT03431831","Obesity","Contrave and Counseling"
"NCT00613769","Infection Prophylaxis in Colo Rectal Surgery","trimethoprim-sulfamethoxazole + metronidazole"
"NCT00613769","Infection Prophylaxis in Colo Rectal Surgery","cefuroxime and metronidazole"
"NCT03854708","Hunger","3 pmol/kg*min pancreatic polypeptide"
"NCT03854708","Hunger","10 pmol/kg*min pancreatic polypeptide"
"NCT04122560","Fluconazole","Fluconazole 2 MG/ML"
"NCT04122560","Candidiasis","Fluconazole 2 MG/ML"
"NCT03803371","Healthy","Tramadol hydrochloride 37.5 mg/Paracetamol 325 mg tablets - tablet (Pfizer)"
"NCT02285075","Gram-Negative Bacterial Infections","temocillin PK/PD in haemodialysis"
"NCT02285075","Renal Failure Chronic Requiring Hemodialysis","temocillin PK/PD in haemodialysis"
"NCT05259098","Analgesia","Intravenous Patient-Controlled Analgesia with morfine"
"NCT05259098","Post Operative Pain","Intravenous Patient-Controlled Analgesia with morfine"
"NCT05259098","Patient Satisfaction","Intravenous Patient-Controlled Analgesia with morfine"
"NCT05259098","Chronic Pain","Intravenous Patient-Controlled Analgesia with morfine"
"NCT04336917","Breast Cancer Surgery","Rhomboid Intercostal and Subserratus Plane Block with local anesthetic"
"NCT04336917","Postoperative Analgesia","Rhomboid Intercostal and Subserratus Plane Block with local anesthetic"
"NCT04326894","Physical Function Improvement","25 mg/week oral methotrexate tablets"
"NCT04326894","Physical Function Improvement","25mg/week oral placebo tablets"
"NCT04753515","Sedation","dexmedetomidine combined with midazolam and remifentanil."
"NCT04753515","Sedation","propofol combined with midazolam and remifentanil."
"NCT04753515","Intubation","dexmedetomidine combined with midazolam and remifentanil."
"NCT04753515","Intubation","propofol combined with midazolam and remifentanil."
"NCT04017741","Migraine","Combined Depo-Medrone and Lidocaine"
"NCT04017741","Chronic Migraine, Headache","Combined Depo-Medrone and Lidocaine"
"NCT01253473","Pulmonary Disease, Chronic Obstructive","budesonide/formoterol"
"NCT01253473","Pulmonary Disease, Chronic Obstructive","Ipratropium/albuterol"
"NCT01258439","Cardiovascular Disease","Darunavir, ritonavir, tenofovir/emtricitabine (Truvada)"
"NCT03434613","Dyslipidemias","Rosuvastatin/ezetimibe combination"
"NCT04280874","Prostaglandins Causing Adverse Effects in Therapeutic Use","Dinoprostone 2 MG/2.5 ML Vaginal Gel/Jelly"
"NCT00757783","HIV","emtricitabine [FTC]/tenofovir [TDF]"
"NCT00757783","HIV","emtricitabine [FTC]/tenofovir [TDF]"
"NCT03627299","End Stage Renal Disease","300mg glecaprevir/pibrentasivir 120mg"
"NCT03627299","Hepatitis C","300mg glecaprevir/pibrentasivir 120mg"
"NCT01501448","Infertility","Levonorgestrel and ethinylestradiol"
"NCT03630198","Nummular Eczema","Corticosteroid with lidocaine"
"NCT03630198","Nummular Eczema","Corticosteroid with normal saline"
"NCT03630198","Granuloma Annulare","Corticosteroid with lidocaine"
"NCT03630198","Granuloma Annulare","Corticosteroid with normal saline"
"NCT04373421","Impacted Third Molar Tooth","Chlorhexidine Gluconate 0.12 % Mouthwash + benzydamine hydrochloride"
"NCT00924898","Acute HIV Infection","efavirenz, emtricitabine, and tenofovir"
"NCT00924898","HIV Infections","efavirenz, emtricitabine, and tenofovir"
"NCT00893737","Migraine","sumatriptan succinate 85 mg/naproxen sodium 500 mg (Treximet)"
"NCT04066426","Temporomandibular Disorder","naproxen sodium+codeine phosphate, naproxen sodium+dexamethasone, naproxen sodium, paracetamol"
"NCT03386630","Anesthesia; Functional","Hyperbaric bupivacaine+Morphine"
"NCT03386630","Anesthesia; Functional","Hyperbaric bupivacaine+Sufentanil"
"NCT00837213","Acne","Benzoyl peroxide with clindamycin"
"NCT00837213","Acne","Benzoyl peroxide with clindamycin and doxycycline"
"NCT00781768","Nausea","Standard PO (Zofran + Dexamethason)"
"NCT00781768","Nausea","Aprepitant (MK-869) + Standard PO"
"NCT00781768","Vomiting","Standard PO (Zofran + Dexamethason)"
"NCT00781768","Vomiting","Aprepitant (MK-869) + Standard PO"
"NCT00762892","HIV Infections","Raltegravir and truvada"
"NCT00762892","HIV Infections","Atazanavir, Norvir and Truvada"
"NCT00756730","HIV Infections","ATV/r"
"NCT00756730","HIV Infections","DRV/r"
"NCT00549198","Infection, Human Immunodeficiency Virus I","Abacavir/lamivudine and efavirenz"
"NCT00549198","Infection, Human Immunodeficiency Virus I","Tenofovir/Emtricitabine and efavirenz"
"NCT00549198","HIV Infection","Abacavir/lamivudine and efavirenz"
"NCT00549198","HIV Infection","Tenofovir/Emtricitabine and efavirenz"
"NCT00545064","Ocular Hypertension","dorzolamide hydrochloride (+) timolol maleate"
"NCT00545064","Open Angle Glaucoma","dorzolamide hydrochloride (+) timolol maleate"
"NCT00542880","Chronic Obstructive Pulmonary Disease (COPD)","Symbicort Turbuhaler (budesonide/formoterol) 320/9 μg"
"NCT00542880","Chronic Obstructive Pulmonary Disease (COPD)","Seretide Diskus (salmeterol/fluticasone) 50/500 μg"
"NCT03820388","Surgery","Propofol 2mg/kg"
"NCT03820388","Surgery","Etomidate 0.3 mg/kg"
"NCT03820388","Surgery","Propofol 1 mg/kg"
"NCT03820388","Surgery","Etomidate 0.15 mg/kg"
"NCT00530842","Pulmonary Disease, Chronic Obstructive","Fluticasone/Salmeterol"
"NCT03723447","Intestinal Disease","Bupivacaine/epinephrine/dexamethasone"
"NCT03150160","Glaucoma","brinzolamide 1%/brimonidine 0.2% fixed combination"
"NCT00412113","Hypertension","Amlodipine besylate/atorvastatin calcium single pill combination"
"NCT00412113","Hypertension","Amlodipine besylate/atorvastatin calcium single pill combination"
"NCT03340740","Allergic Rhinitis","Cetirizine Hydrochloride 1 MG/ML"
"NCT03340740","Asthma","Cetirizine Hydrochloride 1 MG/ML"
"NCT00186043","Bipolar II Disorder","Quetiapine/Seroquel"
"NCT03315000","Asthma","Vilanterol and Fluticasone Furoate"
"NCT00170846","Renal Transplantation","Mycophenolate acid (MPA)/Azathioprine (AZA)"
"NCT03261466","Obesity, Childhood","Bifidobacterium breve BR03 and Bifidobacterium breve B632"
"NCT00619944","HIV Infections","Lumefantrine - lopinavir/ritonavir drug interaction"
"NCT00129623","Post-Menopausal Osteopenia","ibandronate [Bonviva/Boniva]"
"NCT00118716","Bronchospasm","Fluticasone propionate/salmeterol"
"NCT00118716","Activity/Exercise Induced Bronchospasm","Fluticasone propionate/salmeterol"
"NCT03158792","Venous Thromboembolism","Enoxaparin 20Mg/0.2mL Prefilled Syringe"
"NCT03158792","Venous Thromboembolism","Enoxaparin 60Mg/0.6Ml Inj Syringe 0.6Ml"
"NCT03158792","Renal Impairment","Enoxaparin 20Mg/0.2mL Prefilled Syringe"
"NCT03158792","Renal Impairment","Enoxaparin 60Mg/0.6Ml Inj Syringe 0.6Ml"
"NCT01889095","Diabetes Type 2","NPH/Reg"
"NCT01740453","Block","ropivacaine 2 mg/ml"
"NCT01264354","Chronic Hepatitis B","Clevudine 20mg+Adefovir dipivoxil 10mg"
"NCT01264367","HBeAg(+) Chronic Hepatitis B","Clevudine + Peg-interferon"
"NCT01267487","Cardiopulmonary Bypass","Heparin and protamine titration"
"NCT04754230","Chronic Sinusitis","Tranexamic Acid 1,000 Mg/10 mL (100 Mg/mL) INTRAVEN VIAL (ML)"
"NCT04754230","Nasal Obstruction","Tranexamic Acid 1,000 Mg/10 mL (100 Mg/mL) INTRAVEN VIAL (ML)"
"NCT04754230","Turbinate; Hypertrophy Mucous Membrane","Tranexamic Acid 1,000 Mg/10 mL (100 Mg/mL) INTRAVEN VIAL (ML)"
"NCT04754230","Deviated Nasal Septum - Congenital","Tranexamic Acid 1,000 Mg/10 mL (100 Mg/mL) INTRAVEN VIAL (ML)"
"NCT04754230","Deviated Nasal Septum Acquired","Tranexamic Acid 1,000 Mg/10 mL (100 Mg/mL) INTRAVEN VIAL (ML)"
"NCT02938013","Liver Disease","Sofosbuvir/Velpatasvir/Voxilaprevir [SOF/VEL/VOX]"
"NCT02938013","Liver Disease","Sofosbuvir/Velpatasvir (SOF/VEL)"
"NCT02938013","HIV","Sofosbuvir/Velpatasvir/Voxilaprevir [SOF/VEL/VOX]"
"NCT02938013","HIV","Sofosbuvir/Velpatasvir (SOF/VEL)"
"NCT01307488","HIV Infection","Ritonavir boosted Atazanavir + Lamivudine"
"NCT01307488","HIV Infection","Ritonavir boosted Atazanavir + 2 NRTIs"
"NCT01787097","Chronic Obstructive Lung Disease","Symbicort® total dose 400ug/12ug"
"NCT01787097","Chronic Obstructive Lung Disease","Symbicort® total dose 800ug/24ug"
"NCT01785290","Delirium","Haloperidol 1 mg/q8h"
"NCT01785290","Delirium","Haloperidol 2 mg/q8h"
"NCT01785758","Kidney Failure, Chronic","Sugammadex (4 mg/Kg)"
"NCT01785758","Neuromuscular Blockade","Sugammadex (4 mg/Kg)"
"NCT03464266","Bone Demineralization","FTC/TDF"
"NCT01518244","Glaucoma","Brinzolamide/timolol maleate fixed combination"
"NCT00915538","Asthma","pMDI budesonide/formotrol 160/4.5 is in group 1"
"NCT02988869","COPD","Tiotropium/Formoterol"
"NCT02214550","Cystitis, Interstitial","microgestin 1/20"
"NCT03767296","Influence of Vasoactive Medication on Spinal Oxygenation","Ephedrine Hydrochloride 3 MG/ML"
"NCT04457050","Insulin Resistance","Ledipasvir 90milligram/Sofosbuvir 400 milligram Tab"
"NCT04457050","Hepatitis C","Ledipasvir 90milligram/Sofosbuvir 400 milligram Tab"
"NCT04454619","Antisepsis","Hand antisepsis with Clorhexidine and solution"
"NCT04007237","Pityriasis Versicolor","shampoo with different composition"
"NCT01309698","Type 2 Diabetes","Vildagliptin and Voglibose"
"NCT01010503","Rheumatoid Arthritis","tocilizumab [RoActemra/Actemra]"
"NCT00977938","Coronary Artery Disease","Placebo & Aspirin"
"NCT00977938","Coronary Artery Disease","Clopidogrel & Aspirin, Prasugrel & Aspirin"
"NCT02202473","Chronic Hepatitis B","Lamivudine+Oxymatrine Capsules"
"NCT00926367","Acne Vulgaris","Clindamycin and benzoyl peroxide"
"NCT00926367","Acne Vulgaris","benzoyl peroxide 2.5% and adapalene 0.1% gel"
"NCT01609153","Schizophrenia","Olanzapine and Amisulpride"
"NCT01609153","Schizoaffective Disorder","Olanzapine and Amisulpride"
"NCT01756443","Open Reduction Internal Fixation(ORIF) of Lateral Malleolus","2% lidocaine/adrenaline and 0.5% bupivacaine"
"NCT01434017","Postoperative Nausea and Vomiting","Dexamethasone and droperidol"
"NCT01434017","Postoperative Nausea and Vomiting","Dexamethasone and Ondansetron"
"NCT01979913","Primary Open Angle Glaucoma","Saflutan® 15 microgram/ml Augentropfen im Einzeldosisbehältnis"
"NCT01979913","Ocular Hypertension","Saflutan® 15 microgram/ml Augentropfen im Einzeldosisbehältnis"
"NCT01494311","Arterial Catheterization","Lidocaine/tetracaine patch"
"NCT02070380","Brain Disease","MultiHance 0.1 mmol/kg"
"NCT02070380","Brain Disease","MultiHance 0.05 mmol/kg"
"NCT02215382","Intraocular Pressure Changes During Tracheal Extubation","neostigmine+atropine"
"NCT01919489","Type 2 Diabetes","Liraglutide + OADs"
"NCT01919489","Type 2 Diabetes","Glargine + OADs"
"NCT01547598","Ocular Hypertension","travoprost 0.004% / timolol 0.5% combination ophthalmic solution"
"NCT01304953","Pain, Postoperative","Group P+T"
"NCT01304953","Pain, Postoperative","Group S+P"
"NCT01304953","Pain, Postoperative","Group S+T"
"NCT03168568","Heart Failure","Valsartan/Sacubitril or placebo"
"NCT00585910","ADHD","Atomoxetine and OROS Methylphenidate"
"NCT02981147","Cough","Phytus (Cisti, Thyme and Ivy Leaves)"
"NCT02981147","Common Cold","Phytus (Cisti, Thyme and Ivy Leaves)"
"NCT02943369","STEMI","Cangrelor 30 mcg/kg bolus + 4 mcg/kg/min"
"NCT02942550","STEMI","Sodium Chloride 9mg/mL"
"NCT02942550","Morphine","Sodium Chloride 9mg/mL"
"NCT02942550","Ticagrelor","Sodium Chloride 9mg/mL"
"NCT02942550","Methylnaltrexone","Sodium Chloride 9mg/mL"
"NCT02909933","Polycystic Ovary Syndrome","metformin and liraglutide"
"NCT02909933","Obesity","metformin and liraglutide"
"NCT03219840","Gingivitis","Cetylpyridinium Chloride (CPC) 0.09% + Xylitol chewing gum"
"NCT02351908","HIV","Isentress® (Raltegravir 400 mg)1 tablet twice a day + Truvada® (FTC & Tenofovir) 1 tablet"
"NCT02351908","HIV","Tivicay® (Dolutegravir 50 mg) 1 tablet once a day + Truvada® (FTC & Tenofovir)"
"NCT04783376","Type 1 Diabetes Mellitus",": Insulin, lispro and regular insulin"
"NCT01798992","Idiopathic Dilated Cardiomyopathy","Metoprolol succinate + doxazosin"
"NCT04166890","Tooth Extraction","Articaine / EPINEPHrine Cartridge"
"NCT03914404","Diabetic Neuropathy","γ-linoleic acid and placebo(Thioctic Acid)"
"NCT03914404","Diabetic Neuropathy","Thioctic Acid and placebo(γ-linoleic acid)"
"NCT04143165","Epidural Block in Axial Spondyloarthritis","Epidural block with lidocaine and triamcinilone"
"NCT03877120","Alcohol Withdrawal Delirium","Dexmedetomidine 0.004 MG/ML"
"NCT03869047","Anesthesia","Dexmedetomidine +bupivacaine"
"NCT03796975","Type 2 Diabetes Mellitus","Combination of Pioglitazone and Metformin Tablets"
"NCT03796975","Non-alcoholic Fatty Liver Disease","Combination of Pioglitazone and Metformin Tablets"
"NCT03796975","Efficacy","Combination of Pioglitazone and Metformin Tablets"
"NCT02152592","Postoperative Pain After Ambulatory Surgery","PCM/Oxy1"
"NCT02152592","Postoperative Pain After Ambulatory Surgery","PCM/Oxy2"
"NCT05152355","Asthma","Budesonide 200 microgram/Puff, HFA MDI"
"NCT05152355","Asthma","Budesonide 100 microgram/Actuation Powder for Inhalation"
"NCT04606394","COPD","Ventolin 90Mcg/Actuation Inhalation Aerosol"
"NCT04606394","COPD","Trelegy Ellipta 100/62.5/25Mcg Inh 30D"
"NCT03773536","Plasmodium Falciparum Malaria","Artesunate-amodiaquine given with single low dose primaquine"
"NCT02747940","Chronic Migraine","flunarizine and/or pregabalin"
"NCT04401345","Post-spinal Hypotension","Glycopyrrolate 0.2 MG/ML"
"NCT04401345","Effect of Drug","Glycopyrrolate 0.2 MG/ML"
"NCT04401345","Hemodynamic Instability","Glycopyrrolate 0.2 MG/ML"
"NCT03192826","Posterior Capsule Opacification","Brinzolamide/Brimonidine FC"
"NCT03192826","Ocular Hypertension","Brinzolamide/Brimonidine FC"
"NCT03219294","Arthropathy of Hip","Vecuronium 0.1 mg/kg"
"NCT03219294","Arthropathy of Hip","Vecuronium 0.2mg/kg"
"NCT01335048","Stable Angina","atorvastatin and clopidogrel"
"NCT02127489","Failed Moderate Sedation During Procedure","1 mL/kg bupivacaine 0.25%."
"NCT03468933","Pleural Infection","tissue plasminogen activator (tPA) and human recombinant deoxyribonuclease (DNase)"
"NCT03468933","Empyema","tissue plasminogen activator (tPA) and human recombinant deoxyribonuclease (DNase)"
"NCT03468933","Pleural Diseases","tissue plasminogen activator (tPA) and human recombinant deoxyribonuclease (DNase)"
"NCT03468933","Parapneumonic Effusion","tissue plasminogen activator (tPA) and human recombinant deoxyribonuclease (DNase)"
"NCT03472469","Nonspecific Pain Post Traumatic Injury","Acetaminophen IV/PO"
"NCT02136875","Chronic Obstructive Pulmonary Disease","Double dose of Salmeterol + Fluticasone Propionate"
"NCT03862755","Pulmonary Embolism","Chemoprophylaxis with Low Molecular Weight Heparin (LMWH)"
"NCT03862755","Thoracic Surgery","Chemoprophylaxis with Low Molecular Weight Heparin (LMWH)"
"NCT02366689","Dental Plaque","Triclosan/fluoride toothpaste"
"NCT02340000","Sinusitis","standard dose amoxicillin/clavulanate"
"NCT02340000","Sinusitis","high dose amoxicillin/clavulanate"
"NCT01700478","Hemorrhage","Misoprostol + vasopressin"
"NCT01150474","Vaginal Surgery","Belladonna and Opium Suppositories"
"NCT01124149","Ulcerative Colitis","MMX mesalamine/ mesalazine"
"NCT00984659","Pulmonary Disease, Chronic Obstructive","Fluticasone propionate/salmeterol combination product"
"NCT00961961","Bipolar Disorder","Lithium / Fluoxetine"
"NCT00961961","Bipolar Disorder","Lithium / Placebo"
"NCT00879996","Opiate Addiction","Buprenorphine/naloxone"
"NCT00873730","Ankylosing Spondylitis","etanercept/placebo"
"NCT00860405","Cardiac Surgery","HES 130/0.4 (6%) in sodium chloride (Voluven®, solution for infusion), Human serum albumin (HSA 50g/L)"
"NCT00860405","Cardiac Surgery","Human serum albumin (HSA 50g/L)"
"NCT00860405","Cardiopulmonary Bypass","HES 130/0.4 (6%) in sodium chloride (Voluven®, solution for infusion), Human serum albumin (HSA 50g/L)"
"NCT00860405","Cardiopulmonary Bypass","Human serum albumin (HSA 50g/L)"
"NCT00800540","Glaucoma","Brinzolamide 10 mg/ml/Timolol 5 mg/ml eye drops suspension"
"NCT00800540","Glaucoma","Brimonidine 20 mg/ml/Timolol 5 mg/ml eye drops solution"
"NCT00799409","Attention Deficit Hyperactivity Disorder","Placebo/ CONCERTA (methylphenidate HCl)"
"NCT00799409","Attention Deficit Hyperactivity Disorder","CONCERTA (methylphenidate HCl) / Placebo"
"NCT00798759","Open-angle Glaucoma","Travoprost ophthalmic solution 0.004% with SofZia® preservative system (TRAVATAN Z®)"
"NCT00798759","Ocular Hypertension","Travoprost ophthalmic solution 0.004% with SofZia® preservative system (TRAVATAN Z®)"
"NCT00792636","Migraine Disorders","sumatriptan and naproxen sodium combination tablet"
"NCT00791258","Hypertension","amlodipine and olmesartan medoxomil tablets"
"NCT00618176","HIV Infections","Zidovudine (AZT)+ Didanosine (ddI)+ Nevirapine (NVP)"
"NCT00377962","Disorder Related to Cardiac Transplantation","Mycophenolic acid (MPA)/azathioprine (AZA)"
"NCT00377403","Acute Respiratory Infections","Dextromethorphan hydrobromide with guaifenesin"
"NCT00377403","Acute Rhinosinusitis","Dextromethorphan hydrobromide with guaifenesin"
"NCT00373685","Osteoarthritis","Any commercially available NSAID with the indication for osteoarthritis"
"NCT00367055","Type 2 Diabetes Mellitus","metformin+ gliclazide"
"NCT00356148","Breast Cancer","Ampicillin/Sulbactam"
"NCT02141412","Postoperative Recovery","dexmedetomidine 0.25 µg/kg IV"
"NCT02141412","Postoperative Recovery","dexmedetomidine 0.5 µg/kg IV"
"NCT02141412","Postoperative Recovery","dexmedetomidine 1 µg/kg IV"
"NCT00495508","Malaria","artemether / lumefantrine"
"NCT00277212","Bipolar Disorder","Lamotrigine + Aripiprazole"
"NCT00277212","Bipolar Disorder","Lamotrigine + Placebo"
"NCT03346629","Abortion in Second Trimester","Mifepristone + Misoprostol"
"NCT04080310","Cardiovascular Diseases","Efficacy and safety of combination therapy of moderate-intensity statin and ezetimibe compared to high-intensity statin"
"NCT03142789","Pain Management","Initial bolus (Certa and standard catheter groups)"
"NCT03142789","Pain Management","Intermittent boluses (Certa and standard catheter groups)"
"NCT01327261","Healthy Volunteers","Levodopa + benserazide"
"NCT01327469","Infection by Trichuris Trichiura","Pyrantel-oxantel + mebendazole"
"NCT01346657","Healthy Volunteers","Nifidipine & LipoCol"
"NCT01346670","Healthy Volunteer","LipoCol and Mevacor"
"NCT01361789","Rupture of Anterior Cruciate Ligament","parecoxib, valdecoxib, parecoxib and dexamethasone"
"NCT00939341","Asthma","Symbicort (Budesonide/Formoterol)"
"NCT01490190","Contraception","Ethinylestradiol + Etonogestrel Vaginal Ring (NuvaRing)"
